rank,title,detail
12,Dizzy Gillespie,"Dizzy Gillespie stands as a titan in the world of jazz, with his virtuosic trumpet playing, innovative compositions, and pioneering role in the development of bebop and Afro-Cuban jazz. His rapid-fire technical prowess and ability to navigate complex harmonic progressions set the standard for modern jazz trumpet playing, paving the way for generations of musicians to come. Gillespie's compositions, such as ""A Night in Tunisia,"" ""Manteca,"" and ""Salt Peanuts,"" continue to be cornerstones of the jazz repertoire. As a bandleader, mentor, and tireless advocate for the music, Dizzy Gillespie's impact on jazz is truly immeasurable."
13,Herbie Hancock,"As one of the most versatile and influential pianists in jazz history, Herbie Hancock has consistently pushed the boundaries of the genre through his innovative approaches to composition, improvisation, and technology. From his work with the Miles Davis Quintet and groundbreaking albums like Maiden Voyage to his pioneering excursions into jazz fusion with ""Head Hunters"" and ""Future Shock,"" Hancock's career has been marked by a restless pursuit of innovation. In addition to his virtuoso piano playing, he has embraced synthesizers and electronic instruments, helping to shape the sound of jazz in the modern era. Whether performing acoustic jazz, fusion, or venturing into new realms, Herbie Hancock's creativity and impact on the genre remain unparalleled."
15,Billie Holiday,"Billie Holiday's haunting voice, deeply emotional delivery, and ability to convey the human experience have made her one of the most iconic and revered jazz vocalists in history. Known as ""Lady Day,"" Holiday's unique phrasing and intimate approach to storytelling captivated audiences and left an indelible mark on the genre. Her profound interpretations of songs like ""Strange Fruit,"" ""God Bless the Child,"" and ""Good Morning Heartache"" showcased her ability to tear down the barriers between performer and audience, creating an intensely moving musical experience. Despite her tragic life and untimely death, Billie Holiday's impact on jazz and popular music remains undeniable, and her voice continues to resonate with listeners around the world."
16,Nina Simone,"Combining her soulful voice, prodigious piano skills, and unyielding commitment to civil rights activism, Nina Simone remains an iconic and influential figure in jazz and popular music. Her groundbreaking work as a composer and performer seamlessly blended jazz, blues, gospel, and classical elements, creating a distinct and unforgettable sound that continues to resonate with contemporary audiences. Songs like ""Feeling Good,"" ""I Put a Spell on You,"" and ""Mississippi Goddam"" showcase her ability to convey deep emotion and unyielding social commentary. Nina Simone's fearless artistry and unwavering dedication to her beliefs have left an indelible mark on the musical world and continue to inspire future generations."
17,Nat King Cole,"Possessing an unmistakable voice and a refined approach to piano playing, Nat King Cole remains one of the most influential and beloved figures in jazz history. His suave stage presence and effortless delivery of hits like ""Unforgettable,"" ""Mona Lisa,"" and ""Straighten Up and Fly Right"" made him a worldwide sensation and broke down racial barriers in the entertainment industry. As a pianist and bandleader, his work with the Nat King Cole Trio showcased his swing sensibilities and innovative approach to small group jazz. Whether performing as an instrumentalist or captivating audiences with his silky-smooth vocals, Nat King Cole's contributions to jazz and popular music are both enduring and unforgettable."
18,Sonny Rollins,"Sonny Rollins' commanding presence, relentless creativity, and unparalleled mastery of the tenor saxophone have earned him the title of ""Saxophone Colossus"" and a place among the greatest jazz musicians of all time. His adventurous approach to improvisation, embracing melodic motifs and thematic development, has consistently pushed the boundaries of the genre. Rollins' legendary recordings, such as ""Tenor Madness,"" ""St. Thomas,"" and ""The Bridge,"" continue to be revered by musicians and fans alike. Never one to rest on his laurels, Sonny Rollins' ongoing pursuit of artistic growth and exploration cements his legacy as a truly groundbreaking and innovative force in jazz."
19,Cannonball Adderley,"As an undeniable force in the world of jazz, Cannonball Adderley's electrifying alto saxophone playing and soulful approach to improvisation earned him widespread acclaim and admiration among fans and musicians alike. His memorable collaborations with icons such as Miles Davis, John Coltrane, and Bill Evans showcased his innovative spirit, and his groundbreaking work as a bandleader, notably with brother Nat Adderley, pushed the boundaries of hard bop and soul jazz. Adderley's classic albums like Somethin' Else and Mercy, Mercy, Mercy! capture his infectious energy and undeniable talent, solidifying his place in the pantheon of jazz legends."
20,Stan Getz,"Known for his lush, romantic sound on the tenor saxophone, Stan Getz was a seminal figure in the development of cool jazz and bossa nova. His smooth and lyrical playing style captivated audiences around the world and left a lasting impact on the genre. Getz's collaborations with Brazilian musicians, such as João Gilberto and Antonio Carlos Jobim, introduced the world to the captivating sounds of bossa nova through hits like ""The Girl from Ipanema"" and ""Desafinado."" As a bandleader and solo artist, Stan Getz's extensive discography and contributions to the jazz lexicon continue to inspire and influence generations of musicians."
21,Art Blakey,"As a powerhouse drummer, innovative bandleader, and tireless advocate for the music, Art Blakey stands as one of the most important figures in jazz history. His relentless swing and thunderous sound on the drums provided the backbone for his legendary group, the Jazz Messengers. As a mentor to countless young musicians such as Wayne Shorter, Lee Morgan, and Freddie Hubbard, Blakey's influence on the development of the hard bop genre cannot be overstated. Classic albums like Moanin', A Night in Tunisia, and Free for All showcase Art Blakey's indomitable spirit and unwavering dedication to the art form."
23,Oscar Peterson,"Widely regarded as one of the finest pianists in jazz history, Oscar Peterson dazzled audiences worldwide with his extraordinary technique, boundless creativity, and versatile approach to the instrument. Known for his astonishing speed, intricate harmonies, and impeccable swing, Peterson's piano playing was revered by both musicians and fans alike. As a prolific recording artist and bandleader, his collaborations with luminaries such as Ella Fitzgerald, Louis Armstrong, and Dizzy Gillespie showcased his ability to effortlessly navigate various styles and settings. Through his tireless dedication to the art form and his unmatched musicianship, Oscar Peterson's legacy in jazz remains unsurpassed."
24,Jimmy Smith,"As the undisputed master of the Hammond B-3 organ, Jimmy Smith revolutionized the world of jazz by introducing the instrument into the genre and forging a sound that remains influential to this day. His innovative use of the organ's capabilities, combined with his blues-infused playing style, created a unique musical experience that captivated audiences and inspired countless musicians. Smith's classic recordings, such as ""Back at the Chicken Shack,"" ""The Sermon,"" and ""Midnight Special,"" established him as a force to be reckoned with and paved the way for future generations of jazz organists. With a career spanning over four decades, Jimmy Smith's contributions to the world of jazz are truly groundbreaking and unmistakable."
25,Ben Webster,"Known for his warm, breathy tone and unmistakable vibrato on the tenor saxophone, Ben Webster remains a towering figure in the world of jazz. As a member of Duke Ellington's Orchestra, he contributed his unmistakable sound and lyrical approach to some of the most memorable recordings of the Swing Era. His collaborations with legends like Art Tatum, Coleman Hawkins, and Billie Holiday showcased his versatility as a musician and solidified his status as an influential force in the genre. With a career spanning over four decades, Ben Webster's contributions to the jazz saxophone tradition remain as vital and inspiring as ever."
26,Benny Goodman,"As the ""King of Swing,"" Benny Goodman's virtuosic clarinet playing, captivating stage presence, and pioneering role as a bandleader helped usher in the Swing Era and popularize jazz on a global scale. His groundbreaking integration of African-American musicians into his orchestra broke racial barriers and set the stage for a more inclusive future in the music industry. Goodman's unforgettable performances of hits like ""Sing, Sing, Sing,"" ""Stompin' at the Savoy,"" and ""Moonglow"" continue to inspire swing enthusiasts and musicians alike. With a career spanning over six decades, Benny Goodman's contributions to jazz and popular music are truly monumental and everlasting."
27,Wayne Shorter,"As one of the most imaginative and influential saxophonists in jazz history, Wayne Shorter's remarkable career has consistently showcased his boundless creativity and ability to reinvent himself as an artist. From his work with Art Blakey, Miles Davis, and the seminal fusion group Weather Report, to his acclaimed solo albums and more recent collaborations, Shorter's compositions and improvisations have continually pushed the boundaries of the genre. Classic recordings like ""Speak No Evil,"" ""JuJu,"" and ""Adam's Apple"" capture the essence of Shorter's incredible talent and enduring impact on jazz. As a tireless innovator, Wayne Shorter's influence on the world of music remains both profound and inspiring."
28,Chick Corea,"Chick Corea's extraordinary skill as a pianist, composer, and innovator have firmly placed him among the most important figures in modern jazz. His groundbreaking work with Miles Davis, Return to Forever, and as a solo artist has continuously pushed the boundaries of the genre, encompassing styles such as avant-garde, fusion, and Latin jazz. Corea's vast discography and numerous collaborations with legends such as Herbie Hancock, Gary Burton, and John McLaughlin showcase his relentless pursuit of artistic excellence and growth. As a tireless performer and creative force, Chick Corea's impact on jazz and contemporary music remains profound and enduring."
29,Ray Charles,"As one of the most innovative and influential artists in music history, Ray Charles' soulful voice, virtuosic piano playing, and pioneering fusion of jazz, gospel, R&B, and blues changed the course of popular music forever. Known as ""The Genius,"" Charles' unforgettable performances and groundbreaking recordings, such as ""What'd I Say,"" ""Georgia on My Mind,"" and ""I Got a Woman,"" broke down musical barriers and established him as a true icon. Beyond his enormous impact on popular music, Charles' early work as a jazz pianist and bandleader showcased his deep connection to the jazz tradition. With a career spanning over five decades, Ray Charles' contributions to the world of music are truly unparalleled."
30,Sarah Vaughan,"Blessed with a rich, velvety voice and an extraordinary vocal range, Sarah Vaughan remains one of the most revered and influential jazz vocalists of all time. Known as ""The Divine One,"" her flawless technique, emotional depth, and seamless integration of bebop phrasing into her singing set her apart from her contemporaries. Vaughan's collaborations with luminaries such as Clifford Brown, Quincy Jones, and Count Basie resulted in timeless recordings like ""Lullaby of Birdland,"" ""Misty,"" and ""Tenderly."" With a career spanning over four decades, Sarah Vaughan's incredible artistry and undeniable impact on jazz continue to resonate with musicians and fans alike."
31,Chet Baker,"Chet Baker's hauntingly beautiful trumpet playing and delicate vocals remain iconic staples of the cool jazz era, captivating audiences through his emotional depth and flawless technique. His early work with the Gerry Mulligan Quartet and his acclaimed recordings, such as ""My Funny Valentine,"" ""Time After Time,"" and ""But Not For Me,"" showcased his soulful artistry and innate lyricism. Despite struggles with addiction and personal demons, Baker continued to record and perform throughout his life, leaving an indelible mark on the jazz world. His iconic sound and tragic, romantic persona continue to captivate listeners and ensure Chet Baker's enduring legacy as one of jazz's most unforgettable musicians."
32,McCoy Tyner,"As one of the most innovative and influential pianists in jazz history, McCoy Tyner's powerful playing, intricate harmonic structures, and relentless creativity have left an indelible mark on the genre. As a key member of John Coltrane's classic quartet, Tyner's pioneering approach to modal jazz was instrumental in shaping the sound of modern jazz. His work as a leader, most notably on classic albums like The Real McCoy, Enlightenment, and Trident, showcases his command of the instrument and his ability to create deeply emotional and complex music. Through his inventive compositions, virtuosic playing, and ongoing dedication to the art form, McCoy Tyner's impact on jazz remains profound and inspiring."
33,Lester Young,"Known for his cool, laid-back approach to the tenor saxophone, Lester Young was a pioneering force in the development of the cool jazz style and one of the most influential saxophonists of all time. His inventive use of melodic phrasing, relaxed swing, and unique timbre set him apart from his contemporaries and earned him the nickname ""Prez."" As a member of Count Basie's Orchestra and later as a solo artist, Young's legendary performances on tracks like ""Lester Leaps In,"" ""Taxi War Dance,"" and ""Lady Be Good"" left an indelible mark on the genre. Lester Young's enduring influence and timeless contributions to jazz continue to inspire generations of musicians."
34,Coleman Hawkins,"As the first great tenor saxophonist in jazz history, Coleman Hawkins' innovative techniques, powerful sound, and harmonic explorations laid the groundwork for countless musicians who followed in his footsteps. Known as ""The Hawk"" or ""Bean,"" Hawkins' innovative approach to improvisation and his command of the instrument were unmatched, making him a sought-after collaborator with artists like Fletcher Henderson, Thelonious Monk, and Dizzy Gillespie. His seminal recordings, including ""Body and Soul,"" ""Picasso,"" and ""The Man I Love,"" continue to be revered by jazz enthusiasts and musicians alike. With a career spanning over four decades, Coleman Hawkins' contributions to the jazz tradition remain timeless and inspiring."
35,Jelly Roll Morton,"As one of the earliest pioneers of jazz, Jelly Roll Morton's innovative piano playing, groundbreaking compositions, and flamboyant personality helped shape the genre and lay the foundation for its future development. As a performer, bandleader, and composer, Morton embraced the New Orleans jazz tradition while simultaneously pushing it into new and exciting territory with works like ""King Porter Stomp,"" ""Black Bottom Stomp,"" and ""Wolverine Blues."" His larger-than-life persona, legendary storytelling abilities, and relentless artistic vision left a lasting impact on the jazz world. With a career spanning over three decades, Jelly Roll Morton's contributions to the early development of jazz remain undeniably significant and influential."
36,Clifford Brown,"Clifford Brown's virtuosic trumpet playing, breathtaking technique, and passionate delivery solidified his reputation as one of the most talented and influential musicians of the hard bop era. Despite a tragically short career, Brown left an indelible mark on the genre with his innovative approach to improvisation and his unforgettable recordings, such as ""Joy Spring,"" ""Daahoud,"" and ""Sandu."" As a member of the celebrated Max Roach-Clifford Brown Quintet, he played an instrumental role in defining the sound of modern jazz. Clifford Brown's enduring influence and remarkable talent continue to inspire generations of musicians, ensuring his legacy as one of jazz's greatest trumpeters."
37,Lee Morgan,"Lee Morgan's fiery trumpet playing and soulful approach to improvisation established him as one of the most distinctive and influential musicians of the hard bop era. As a member of Art Blakey's Jazz Messengers and later as a leader, Morgan exuded a confident and commanding presence, resulting in unforgettable performances on tracks like ""The Sidewinder,"" ""Ceora,"" and ""Search for the New Land."" His collaborations with fellow icons such as John Coltrane, Wayne Shorter, and Bobby Timmons showcased his versatility and commitment to the art form. Despite a tumultuous personal life and untimely death, Lee Morgan's contributions to jazz remain significant and inspiring."
39,Max Roach,"Regarded as one of the most innovative and influential drummers in jazz history, Max Roach's revolutionary approach to rhythm, melody, and improvisation laid the groundwork for modern jazz drumming. As a founding member of the bebop movement, Roach's collaborations with icons such as Dizzy Gillespie, Charlie Parker, and Clifford Brown showcased his relentless drive for artistic excellence and innovation. His groundbreaking work as a bandleader and composer, notably with the Max Roach-Clifford Brown Quintet and the Max Roach Ensemble, demonstrated his commitment to pushing the boundaries of the genre. With a career spanning over five decades, Max Roach's influence on the world of jazz remains both profound and inspiring."
40,Django Reinhardt,"As a pioneer of the jazz guitar and a driving force in the creation of the gypsy jazz style, Django Reinhardt's virtuosic playing and groundbreaking techniques have left an indelible mark on the genre. Overcoming adversity from a young age, including severe burns to his left hand, Reinhardt developed a unique approach to the guitar that showcased his extraordinary dexterity and innate sense of melody. As the co-founder of the legendary Quintette du Hot Club de France alongside violinist Stéphane Grappelli, Reinhardt captivated audiences worldwide with his memorable performances on tracks like ""Nuages,"" ""Minor Swing,"" and ""Djangology."" With a career spanning over three decades, Django Reinhardt's influence on jazz guitar and the wider musical world remains unparalleled."
41,Horace Silver,"As a pianist, composer, and bandleader, Horace Silver's innovative approaches to melody, harmony, and rhythm played a crucial role in the development of the hard bop style in jazz. Fusing elements of gospel, blues, R&B, and Latin music, Silver created a unique and lasting sound that resonated with audiences around the world. His work with Art Blakey as co-founder of the Jazz Messengers, as well as classic albums like Song for My Father, The Preacher, and Blowin' the Blues Away, showcased his ability to create memorable tunes and infectious grooves. With a career spanning over five decades, Horace Silver's contributions to the world of jazz remain as vital and inspiring as ever."
42,Gerry Mulligan,"As one of the most innovative and influential baritone saxophonists in jazz history, Gerry Mulligan's unique approach to composition, arranging, and improvisation left an indelible mark on the genre. His work as one of the founding fathers of the cool jazz movement, notably with the Miles Davis Nonet and his own piano-less quartet, showcased his ability to create intricate and emotionally resonant music. Mulligan's collaborations with other jazz legends, such as Chet Baker, Paul Desmond, and Thelonious Monk, only solidified his reputation as a dynamic force in the world of jazz. With a career spanning over four decades, Gerry Mulligan's contributions to the genre remain as vital and inspiring as ever."
43,J. J. Johnson,"As the first trombonist to successfully adapt the bebop style to his instrument, J. J. Johnson revolutionized the role of the trombone in jazz and left an indelible mark on the genre. His extraordinary technical ability, unprecedented speed, and innovative approach to harmony and melody established him as one of the most influential and revered trombonists in jazz history. Johnson's work as a bandleader, composer, and arranger further showcased his versatility and commitment to the art form. With a career spanning over four decades, J. J. Johnson's influence on the world of jazz and the trombone remain both profound and inspiring."
44,Paul Desmond,"With his unmistakable tone, lyrical sensibility, and unparalleled approach to melodic improvisation, Paul Desmond remains one of the most revered and influential alto saxophonists in jazz history. As a member of the legendary Dave Brubeck Quartet, Desmond's contributions to classic recordings such as ""Take Five,"" ""Blue Rondo à la Turk,"" and ""In Your Own Sweet Way"" helped define the sound of cool jazz and captivated audiences worldwide. His collaborations with other jazz greats, including Gerry Mulligan and Jim Hall, showcased his versatility and commitment to the art form. Paul Desmond's enduring influence and profound contributions to the jazz saxophone tradition continue to be celebrated by musicians and fans alike."
45,Kenny Burrell,"Kenny Burrell's tasteful, elegant approach to the guitar has made him one of the most respected and influential musicians in the world of jazz. Often cited as a primary influence by many of today's top guitarists, Burrell's rich, bluesy tone and melodic inventiveness have captivated audiences and musicians alike. As a prolific recording artist and sought-after collaborator, he has worked with legends such as Duke Ellington, John Coltrane, and Jimmy Smith, showcasing his versatility and commitment to the art form. With classic albums like Midnight Blue and Soul Call, Kenny Burrell's enduring legacy as one of jazz's greatest guitarists remains both inspiring and undeniable."
46,Dexter Gordon,"As one of the earliest tenor saxophonists to adapt the bebop style to his instrument, Dexter Gordon's powerful sound, inventive solos, and long, flowing lines made him a major influence on the development of modern jazz. His groundbreaking recordings, such as ""Blue 'n' Boogie,"" ""The Panther!"" and ""Cheesecake,"" showcased his innovative approach to harmony and rhythm and his ability to captivate audiences with his commanding stage presence. Gordon's work as an actor in the film 'Round Midnight' earned him an Academy Award nomination and introduced new audiences to his extraordinary talent. Despite personal struggles and career setbacks, Dexter Gordon's contributions to the world of jazz remain both significant and inspiring."
47,Joe Henderson,"With his innovative approach to melody, harmony, and rhythm, Joe Henderson remains one of the most influential and revered tenor saxophonists in jazz history. As a sideman, bandleader, and composer, Henderson consistently pushed the boundaries of the genre, exploring everything from hard bop and fusion to Latin jazz and avant-garde. His work with legends such as Horace Silver, Kenny Dorham, and McCoy Tyner showcased his versatility and commitment to the art form. Classic albums like Page One, Mode for Joe, and Inner Urge capture the essence of Henderson's incredible talent and enduring impact on the world of jazz."
48,Ornette Coleman,"Randolph Denard Ornette Coleman (March 9 or 19, 1930 – June 11, 2015) was an American jazz saxophonist, violinist, trumpeter, and composer. In the 1960s, he was one of the founders of free jazz, a term he invented for his album Free Jazz: A Collective Improvisation. His ""Broadway Blues"" and ""Lonely Woman"" have become standards and are cited as important early works in free jazz. His album Sound Grammar received the 2007 Pulitzer Prize for music."
49,Bud Powell,"As one of the founding fathers of bebop piano, Bud Powell's innovative approach to harmony, rhythm, and improvisation has left an indelible mark on the world of jazz. His relentless pursuit of technical mastery, combined with his natural gift for melody and intricate harmonic structures, elevated the piano to new heights within the genre. Powell's groundbreaking recordings, such as ""Un Poco Loco,"" ""Tempus Fugit,"" and ""Glass Enclosure,"" showcase his genius as a pianist, composer, and visionary. Despite a tumultuous personal life and a tragically short career, Bud Powell's impact on the world of jazz piano is profound and enduring."
50,Modern Jazz Quartet,"With their refined blend of classical, blues, and bebop influences, the Modern Jazz Quartet has been hailed as one of the most influential and innovative ensembles in jazz history. Comprised of Milt Jackson on vibraphone, John Lewis on piano, Percy Heath on bass, and Connie Kay on drums, the group's unique sound and elegant approach to improvisation set them apart from their contemporaries. Their landmark recordings, including ""Django,"" ""Concorde,"" and ""Fontessa,"" showcased the group's unparalleled musicianship and pioneering spirit. With a career spanning over four decades, the Modern Jazz Quartet's influence on the world of music remains as vital and inspiring today as when they first took to the stage."
51,Freddie Hubbard,"Frederick Dewayne Hubbard (April 7, 1938 – December 29, 2008) was an American jazz trumpeter. He was known primarily for playing in the bebop, hard bop, and post-bop styles from the early 1960s onwards. His unmistakable and influential tone contributed to new perspectives for modern jazz and bebop.

"
52,Sidney Bechet,"Sidney Bechet (May 14, 1897 – May 14, 1959) was an American jazz saxophonist, clarinetist, and composer. He was one of the first important soloists in jazz, beating trumpeter Louis Armstrong to the recording studio by several months. His erratic temperament hampered his career, and not until the late 1940s did he earn wide acclaim."
53,George Benson,"George Benson (born March 22, 1943) is an American guitarist, singer, and songwriter. He began his professional career at the age of 21 as a jazz guitarist. Benson uses a rest-stroke picking technique similar to that of gypsy jazz players such as Django Reinhardt.
A former child prodigy, Benson first came to prominence in the 1960s, playing soul jazz with Jack McDuff and others. He then launched a successful solo career, alternating between jazz, pop, R&B singing, and scat singing. His album Breezin' was certified triple-platinum, hitting no. 1 on the Billboard album chart in 1976. His concerts were well attended through the 1980s, and he still has a large following. Benson has been honored with a star on the Hollywood Walk of Fame."
54,Wynton Marsalis,"Wynton Learson Marsalis (born October 18, 1961) is an American virtuoso trumpeter, composer, teacher, and artistic director of Jazz at Lincoln Center. He has promoted classical and jazz music, often to young audiences. Marsalis has been awarded nine Grammy Awards and his Blood on the Fields was the first jazz composition to win the Pulitzer Prize for Music. He is the son of jazz musician Ellis Marsalis Jr. (pianist), grandson of Ellis Marsalis Sr., and brother of Branford (saxophonist), Delfeayo (trombonist), and Jason (drummer). Marsalis is the only musician to win a Grammy Award in jazz and classical during the same year."
55,Eric Dolphy,"Eric Allan Dolphy, Jr. (June 20, 1928 – June 29, 1964) was an American jazz alto saxophonist, bass clarinetist and flautist. On a few occasions, he also played the clarinet and piccolo. Dolphy was one of several multi-instrumentalists to gain prominence around the time that he was active. His use of the bass clarinet helped to establish the instrument within jazz. Dolphy extended the vocabulary and boundaries of the alto saxophone, and was among the earliest significant jazz flute soloists.
His improvisational style was characterized by the use of wide intervals, in addition to using an array of extended techniques to emulate the sounds of human voices and animals. Although Dolphy's work is sometimes classified as free jazz, his compositions and solos were often rooted in conventional (if highly abstracted) tonal bebop harmony and melodic lines that suggest the influences of modern classical composers such as Béla Bartók and Igor Stravinsky."
56,Billy Strayhorn,"William Thomas Strayhorn (November 29, 1915 – May 31, 1967) was an American jazz composer, pianist, lyricist, and arranger, best remembered for his long-time collaboration with bandleader and composer Duke Ellington that lasted nearly three decades. His compositions include ""Take the 'A' Train"", ""Chelsea Bridge"", ""A Flower Is a Lovesome Thing"", and ""Lush Life""."
58,Pat Metheny,"Patrick Bruce Metheny ( mə-THEE-nee; born August 12, 1954) is an American jazz guitarist and composer.
He is the leader of the Pat Metheny Group and is also involved in duets, solo works, and other side projects. His style incorporates elements of progressive and contemporary jazz, Latin jazz, and jazz fusion. Metheny has three gold albums and 20 Grammy Awards and is the only person to win Grammys in 10 categories. He is the brother of jazz flugelhornist Mike Metheny."
59,Ahmad Jamal,"Ahmad Jamal (born Frederick Russell Jones, July 2, 1930) is an American jazz pianist, composer, bandleader, and educator. For five decades, he has been one of the most successful small-group leaders in jazz."
60,Bix Beiderbecke,"As one of the earliest innovators of jazz, Bix Beiderbecke's lyrical cornet playing, distinctive tone, and innovative approach to improvisation laid the foundation for future generations of musicians. Although his career was tragically short, his innovative contributions to the genre, particularly with the Paul Whiteman Orchestra, helped define the sound of early jazz. Beiderbecke's recordings, such as ""Singin' the Blues,"" ""I'm Coming, Virginia,"" and ""At the Jazz Band Ball,"" continue to be revered by jazz enthusiasts around the world. Despite his untimely death at the age of 28, Bix Beiderbecke's impact on the world of jazz is both profound and enduring."
